filename,width,height,class,xmin,ymin,xmax,ymax
DataSet/Vehicles/81.jpg,137,62,license_plate,334,304,471,366
DataSet/Vehicles/79.jpg,289,84,license_plate,559,456,848,540
DataSet/Vehicles/152.jpg,110,35,license_plate,119,263,229,298
DataSet/Vehicles/174.jpg,239,77,license_plate,209,82,448,159
DataSet/Vehicles/156.jpg,233,96,license_plate,353,191,586,287
DataSet/Vehicles/44.jpg,291,67,license_plate,595,463,886,530
DataSet/Vehicles/114.jpg,196,68,license_plate,185,349,381,417
DataSet/Vehicles/14.jpg,209,83,license_plate,151,102,360,185
DataSet/Vehicles/150.jpg,203,73,license_plate,139,240,342,313
DataSet/Vehicles/58.jpg,209,115,license_plate,91,253,300,368
DataSet/Vehicles/62.jpg,489,236,license_plate,6,9,495,245
DataSet/Vehicles/197.jpg,121,70,license_plate,111,123,232,193
DataSet/Vehicles/200.jpg,80,75,license_plate,19,243,99,318
DataSet/Vehicles/123.jpg,232,89,license_plate,266,321,498,410
DataSet/Vehicles/39.jpg,291,86,license_plate,7,81,298,167
DataSet/Vehicles/191.jpg,312,129,license_plate,333,933,645,1062
DataSet/Vehicles/142.jpg,111,51,license_plate,638,336,749,387
DataSet/Vehicles/59.jpg,210,89,license_plate,147,234,357,323
DataSet/Vehicles/3.jpg,142,47,license_plate,217,312,359,359
DataSet/Vehicles/209.jpg,209,68,license_plate,56,220,265,288
DataSet/Vehicles/52.jpg,148,54,license_plate,48,291,196,345
DataSet/Vehicles/165.jpg,203,67,license_plate,114,173,317,240
DataSet/Vehicles/144.jpg,328,93,license_plate,110,184,438,277
DataSet/Vehicles/167.jpg,295,99,license_plate,288,300,583,399
DataSet/Vehicles/223.jpg,212,82,license_plate,136,195,348,277
DataSet/Vehicles/111.jpg,690,147,license_plate,53,177,743,324
DataSet/Vehicles/64.jpg,113,58,license_plate,61,131,174,189
DataSet/Vehicles/172.jpg,479,127,license_plate,16,7,495,134
DataSet/Vehicles/183.jpg,189,37,license_plate,169,260,358,297
DataSet/Vehicles/82.jpg,266,175,license_plate,93,46,359,221
DataSet/Vehicles/132.jpg,110,60,license_plate,194,196,304,256
DataSet/Vehicles/9.jpg,283,208,license_plate,674,364,957,572
DataSet/Vehicles/184.jpg,159,60,license_plate,100,147,259,207
DataSet/Vehicles/97.jpg,98,53,license_plate,122,116,220,169
DataSet/Vehicles/46.jpg,198,72,license_plate,180,278,378,350
DataSet/Vehicles/195.jpg,119,58,license_plate,79,125,198,183
DataSet/Vehicles/88.jpg,415,175,license_plate,1010,570,1425,745
DataSet/Vehicles/207.jpg,313,89,license_plate,137,65,450,154
DataSet/Vehicles/106.jpg,97,61,license_plate,229,187,326,248
DataSet/Vehicles/154.jpg,221,79,license_plate,177,217,398,296
DataSet/Vehicles/199.jpg,110,44,license_plate,559,205,669,249
DataSet/Vehicles/222.jpg,210,52,license_plate,141,220,351,272
DataSet/Vehicles/7.jpg,130,73,license_plate,266,247,396,320
DataSet/Vehicles/148.jpg,300,75,license_plate,114,257,414,332
DataSet/Vehicles/162.jpg,153,39,license_plate,86,18,239,57
DataSet/Vehicles/71.jpg,202,64,license_plate,141,247,343,311
DataSet/Vehicles/178.jpg,80,59,license_plate,239,262,319,321
DataSet/Vehicles/180.jpg,269,64,license_plate,218,130,487,194
DataSet/Vehicles/229.jpg,161,66,license_plate,101,134,262,200
DataSet/Vehicles/124.jpg,185,79,license_plate,135,117,320,196
DataSet/Vehicles/168.jpg,216,56,license_plate,218,140,434,196
DataSet/Vehicles/72.jpg,243,108,license_plate,138,77,381,185
DataSet/Vehicles/86.jpg,160,77,license_plate,199,185,359,262
DataSet/Vehicles/135.jpg,179,39,license_plate,127,281,306,320
